device,timestamp,Feature_Value_0,Feature_Value_1,Feature_Value_2,Feature_Value_3,Feature_Value_4,Feature_Value_5
88:4A:EA:69:42:9B,2017-03-15 07:00:00.009999872,94.26,94.35,94.1,94.3,94.3,48.17
88:4A:EA:69:43:8A,2017-03-15 07:00:00.209999872,208.06,325.67,225.16,155.39,126.0,63.46
88:4A:EA:69:E1:72,2017-03-15 07:00:00.460000000,7285.2,36.01,19.68,33.72,51.8,31.0
88:4A:EA:69:42:9B,2017-03-15 07:00:00.540000000,94.22,94.17,94.24,94.2,94.26,49.26
88:4A:EA:69:43:8A,2017-03-15 07:00:00.729999872,101.79,108.75,101.88,98.76,97.78,47.16
88:4A:EA:69:E1:72,2017-03-15 07:00:01.020000000,1109.37,8.94,4.75,4.61,51.8,29.0
88:4A:EA:69:42:9B,2017-03-15 07:00:01.060000000,94.34,94.28,94.16,94.33,94.59,52.37
88:4A:EA:69:43:8A,2017-03-15 07:00:01.260000000,97.66,97.58,97.63,97.72,97.71,43.95
88:4A:EA:69:E1:72,2017-03-15 07:00:01.510000128,986.45,7.8,4.19,2.11,51.8,209.0
88:4A:EA:69:42:9B,2017-03-15 07:00:01.580000000,94.42,94.59,94.38,94.4,94.32,54.19
88:4A:EA:69:43:8A,2017-03-15 07:00:01.780000000,106.42,97.58,97.58,108.69,121.81,51.62
88:4A:EA:69:E1:72,2017-03-15 07:00:02.030000128,6497.86,11.32,63.94,15.26,51.8,28.0
88:4A:EA:69:42:9B,2017-03-15 07:00:02.100000000,94.34,94.2,94.53,94.32,94.31,50.33
88:4A:EA:69:43:8A,2017-03-15 07:00:02.300000000,200.3,163.18,252.88,241.96,143.18,71.2
88:4A:EA:69:42:9B,2017-03-15 07:00:02.630000128,94.22,94.23,94.1,94.32,94.25,51.1
88:4A:EA:69:43:8A,2017-03-15 07:00:02.830000128,104.49,113.12,105.46,100.8,98.56,50.92
88:4A:EA:69:42:9B,2017-03-15 07:00:03.150000128,94.43,95.28,94.05,94.12,94.27,58.73
88:4A:EA:69:E1:72,2017-03-15 07:00:03.190000128,1043.09,9.22,5.3,2.64,51.8,210.0
88:4A:EA:69:43:8A,2017-03-15 07:00:03.350000128,98.19,97.84,97.77,97.63,99.52,43.89
88:4A:EA:69:42:9B,2017-03-15 07:00:03.670000128,94.28,94.27,94.22,94.36,94.29,52.07
88:4A:EA:69:43:8A,2017-03-15 07:00:03.870000128,222.98,114.46,208.56,353.44,215.47,71.65
88:4A:EA:69:42:9B,2017-03-15 07:00:04.200000000,94.25,94.31,94.28,94.13,94.3,50.3
88:4A:EA:69:E1:72,2017-03-15 07:00:04.249999872,1095.49,8.23,4.82,2.06,51.8,209.0
88:4A:EA:69:43:8A,2017-03-15 07:00:04.400000000,115.5,147.81,111.45,103.25,99.49,56.14
88:4A:EA:69:42:9B,2017-03-15 07:00:04.720000000,94.47,94.18,94.39,93.56,95.73,54.8
88:4A:EA:69:43:8A,2017-03-15 07:00:04.920000000,97.69,97.79,97.63,97.69,97.66,40.79
88:4A:EA:69:42:9B,2017-03-15 07:00:05.240000000,94.21,94.34,94.14,94.23,94.14,52.78
88:4A:EA:69:E1:72,2017-03-15 07:00:05.289999872,1358.9,8.47,4.82,2.13,51.8,208.0
88:4A:EA:69:43:8A,2017-03-15 07:00:05.449999872,112.25,97.58,106.42,117.18,127.83,54.54
88:4A:EA:69:42:9B,2017-03-15 07:00:05.760000000,94.2,94.27,94.08,94.25,94.19,48.17
88:4A:EA:69:43:8A,2017-03-15 07:00:05.969999872,276.59,308.15,364.37,267.08,166.77,72.46
88:4A:EA:69:42:9B,2017-03-15 07:00:06.289999872,94.27,94.17,94.47,94.2,94.25,48.0
88:4A:EA:69:E1:72,2017-03-15 07:00:06.320000000,1264.27,7.98,4.65,2.11,51.81,208.0
88:4A:EA:69:43:8A,2017-03-15 07:00:06.489999872,109.1,122.67,110.48,103.42,99.83,48.83
88:4A:EA:69:42:9B,2017-03-15 07:00:06.809999872,98.15,94.95,98.45,100.08,99.12,53.94
88:4A:EA:69:43:8A,2017-03-15 07:00:07.009999872,97.97,98.56,97.97,97.77,97.58,39.18
88:4A:EA:69:42:9B,2017-03-15 07:00:07.329999872,98.17,103.59,98.27,95.34,95.48,55.04
88:4A:EA:69:E1:72,2017-03-15 07:00:07.390000128,1248.88,8.21,4.66,2.18,51.8,211.0
88:4A:EA:69:43:8A,2017-03-15 07:00:07.540000000,97.61,97.72,97.67,97.57,97.49,42.98
88:4A:EA:69:42:9B,2017-03-15 07:00:07.849999872,94.71,95.0,94.44,94.72,94.69,49.88
88:4A:EA:69:43:8A,2017-03-15 07:00:08.060000000,97.65,97.65,97.63,97.72,97.6,42.21
88:4A:EA:69:42:9B,2017-03-15 07:00:08.380000000,94.31,94.25,94.42,94.22,94.37,48.86
88:4A:EA:69:E1:72,2017-03-15 07:00:08.409999872,1378.31,8.53,4.8,1.69,51.81,119.0
88:4A:EA:69:43:8A,2017-03-15 07:00:08.580000000,97.68,97.64,97.69,97.76,97.63,38.9
88:4A:EA:69:42:9B,2017-03-15 07:00:08.900000000,94.34,94.35,94.29,94.44,94.26,48.25
88:4A:EA:69:43:8A,2017-03-15 07:00:09.110000128,97.63,97.68,97.63,97.61,97.6,39.08
88:4A:EA:69:42:9B,2017-03-15 07:00:09.420000000,94.33,94.42,94.44,94.3,94.17,47.57
88:4A:EA:69:E1:72,2017-03-15 07:00:09.460000000,1153.13,8.19,4.68,2.15,51.81,209.0
88:4A:EA:69:43:8A,2017-03-15 07:00:09.630000128,97.61,97.63,97.69,97.47,97.65,36.29
88:4A:EA:69:42:9B,2017-03-15 07:00:09.950000128,94.25,94.17,94.35,94.12,94.37,46.9
88:4A:EA:69:43:8A,2017-03-15 07:00:10.150000128,97.61,97.73,97.62,97.52,97.57,36.2
88:4A:EA:69:42:9B,2017-03-15 07:00:10.470000128,94.26,94.4,94.05,94.42,94.17,47.37
88:4A:EA:69:E1:72,2017-03-15 07:00:10.489999872,1249.61,8.52,4.73,2.17,51.81,208.0
88:4A:EA:69:43:8A,2017-03-15 07:00:10.670000128,97.62,97.64,97.65,97.61,97.58,36.85
88:4A:EA:69:42:9B,2017-03-15 07:00:10.990000128,94.25,94.18,94.36,94.12,94.35,47.53
88:4A:EA:69:43:8A,2017-03-15 07:00:11.200000000,97.68,97.63,97.77,97.62,97.72,36.14
88:4A:EA:69:42:9B,2017-03-15 07:00:11.510000128,94.22,94.24,94.2,94.21,94.24,47.8
88:4A:EA:69:E1:72,2017-03-15 07:00:11.569999872,1189.12,8.06,4.52,2.13,51.81,211.0
88:4A:EA:69:43:8A,2017-03-15 07:00:11.720000000,97.62,97.58,97.65,97.67,97.58,35.79
88:4A:EA:69:42:9B,2017-03-15 07:00:12.040000000,97.05,94.23,94.25,101.16,98.54,53.23
88:4A:EA:69:43:8A,2017-03-15 07:00:12.240000000,97.66,97.69,97.68,97.69,97.57,35.6
88:4A:EA:69:42:9B,2017-03-15 07:00:12.560000000,97.89,95.03,104.87,96.61,95.07,54.26
88:4A:EA:69:E1:72,2017-03-15 07:00:12.620000000,1228.14,8.49,4.73,2.09,51.81,210.0
88:4A:EA:69:43:8A,2017-03-15 07:00:12.760000000,97.63,97.62,97.65,97.64,97.59,35.66
88:4A:EA:69:42:9B,2017-03-15 07:00:13.080000000,95.09,96.54,94.88,94.45,94.51,50.87
88:4A:EA:69:43:8A,2017-03-15 07:00:13.289999872,97.68,97.63,97.64,97.88,97.55,36.7
88:4A:EA:69:42:9B,2017-03-15 07:00:13.600000000,94.22,94.25,94.35,93.97,94.29,49.2
88:4A:EA:69:E1:72,2017-03-15 07:00:13.660000000,1258.32,8.32,4.63,2.43,51.81,209.0
88:4A:EA:69:43:8A,2017-03-15 07:00:13.809999872,97.63,97.59,97.64,97.69,97.6,36.95
88:4A:EA:69:42:9B,2017-03-15 07:00:14.129999872,94.32,94.28,94.23,94.5,94.25,49.8
88:4A:EA:69:43:8A,2017-03-15 07:00:14.329999872,97.58,97.67,97.48,97.55,97.61,36.23
88:4A:EA:69:42:9B,2017-03-15 07:00:14.649999872,94.29,94.46,94.17,94.26,94.27,51.11
88:4A:EA:69:E1:72,2017-03-15 07:00:14.710000128,1185.35,8.55,4.81,2.06,51.81,208.0
