device,timestamp,Feature_Value_0,Feature_Value_1,Feature_Value_2,Feature_Value_3,Feature_Value_4,Feature_Value_5
88:4A:EA:69:42:9B,2017-03-15 07:00:00.009999872,94.26,94.35,94.1,94.3,94.3,48.17
88:4A:EA:69:43:8A,2017-03-15 07:00:00.209999872,208.06,325.67,225.16,155.39,126.0,63.46
88:4A:EA:69:E1:72,2017-03-15 07:00:00.460000000,7285.2,36.01,19.68,33.72,51.8,31.0
88:4A:EA:69:42:9B,2017-03-15 07:00:00.540000000,94.22,94.17,94.24,94.2,94.26,49.26
88:4A:EA:69:43:8A,2017-03-15 07:00:00.729999872,101.79,108.75,101.88,98.76,97.78,47.16
88:4A:EA:69:E1:72,2017-03-15 07:00:01.020000000,1109.37,8.94,4.75,4.61,51.8,29.0
88:4A:EA:69:42:9B,2017-03-15 07:00:01.060000000,94.34,94.28,94.16,94.33,94.59,52.37
88:4A:EA:69:43:8A,2017-03-15 07:00:01.260000000,97.66,97.58,97.63,97.72,97.71,43.95
88:4A:EA:69:E1:72,2017-03-15 07:00:01.510000128,986.45,7.8,4.19,2.11,51.8,209.0
88:4A:EA:69:42:9B,2017-03-15 07:00:01.580000000,94.42,94.59,94.38,94.4,94.32,54.19
